countries_row	years_column	value
14	17	98.8
15	17	98.10134888
16	17	99.4
17	17	99.04
18	17	98.81959534
19	17	99.8
20	17	99.3794632
21	17	99.64969635
22	17	99.8531723
23	17	99.7
24	17	99.9950943
25	17	99.8
26	17	100
27	17	100
1	18	58.59144211
2	18	59.01051712
3	18	59.42907715
4	18	59.8445816
5	18	60.25396729
6	18	60.6541748
7	18	61.04214859
8	18	61.41482162
9	18	61.76914597
10	18	62.10205078
11	18	62.41200638
12	18	62.70355225
13	18	62.98274994
14	18	63.25566483
15	18	63.52836227
16	18	63.80689621
17	18	64.09733582
18	18	64.40574646
19	18	64.73667908
20	18	65.08863831
21	18	65.45861816
22	18	66.1
23	18	66.24063873
24	18	66.64666748
25	18	67.05870819
26	18	67.47374725
27	18	67.88928986
1	19	17.8409462
2	19	19.01162148
3	19	20.18178749
4	19	21.34889221
5	19	22.50988197
6	19	22.9
7	19	24.80126762
8	19	25.92554474
9	19	27.03146935
10	19	28.11598015
11	19	29.17753792
12	19	30.22068596
13	19	32.2
14	19	32.27600479
15	19	33.30030441
16	19	34.33044434
17	19	35.37248611
18	19	36.43249893
19	19	37.51503372
20	19	38.61859512
21	19	39.74018097
22	19	40.87678528
23	19	42.02540588
24	19	43.1830368
25	19	44.34667587
26	19	45.51332092
27	19	46.68046188
1	20	0.01
2	20	0.01
3	20	0.027324773
4	20	0.157241911
5	20	0.598653972
6	20	1.11878562
7	20	2.780768871
8	20	4.427456856
9	20	6.055789948
10	20	7.662709236
11	20	12.7
12	20	10.81223297
13	20	12.36544323
14	20	13.91236973
15	20	15.45907593
16	20	14
17	20	18.57607841
18	20	20.15850067
19	20	21.76344299
20	20	23.38941193
21	20	25.0334053
22	20	23
23	20	28.36344719
24	20	30.04348755
25	20	27.2
26	20	33.41859055
27	20	42.9
1	21	64.61288452
2	21	65.70444489
3	21	66.79550171
4	21	67.88349915
5	21	68.96537018
6	21	70.03807068
7	21	71.09853363
8	21	72.14369965
9	21	73.17051697
10	21	74.17591858
11	21	73.6
12	21	76.12239838
13	21	77.07408905
14	21	78.0194931
15	21	78.96468353
16	21	81.6
17	21	80.87863922
18	21	81.85954285
19	21	82.86296082
20	21	83.88741302
21	21	84.92988586
22	21	85.98738098
23	21	89.3
24	21	86.4
25	21	89.21994019
26	21	90.30747223
27	21	91.39550018
1	22	16.23235321
2	22	17.50630569
3	22	18.77974892
4	22	17.7
5	22	21.31439972
6	22	22.56948662
7	22	23.81233978
8	22	25.03989601
9	22	26.24909782
10	22	27.43688583
11	22	34.3
12	22	29.74814606
13	22	30.88222504
14	22	32.01002121
15	22	33.13759613
16	22	30.4562675
17	22	35.41633606
18	22	36.57962418
19	22	37.76543808
20	22	38.97227478
21	22	40.19713593
22	22	41.43701935
23	22	42.68891525
24	22	44.5
25	22	45.21674347
26	22	46.48666382
27	22	47.75708771
1	23	23.53626251
2	23	25.68720436
3	23	27.83763504
4	23	30.6
5	23	32.12625885
6	23	34.25833893
7	23	36.37817764
8	23	38.48272324
9	23	42.6
10	23	42.63368607
11	23	44.67551041
12	23	46.69892502
13	23	48.70999146
14	23	48.3
15	23	52.71933746
16	23	54.72974396
17	23	55.09345008
18	23	58.7923317
19	23	60.5
20	23	62.93895721
21	23	65.04080963
22	23	64.06256
23	23	69.28656006
24	23	70.7
25	23	78.3
26	23	75.71527863
27	23	79.3
1	24	6.429067135
2	24	7.474211216
3	24	8.518845558
4	24	9.560420036
5	24	10.59587669
6	24	11.62215614
7	24	12.636199
8	24	13.63494682
9	24	14.61533928
10	24	16.4
11	24	16.51034546
12	24	17.42796135
13	24	18.33323097
14	24	19.23221779
15	24	20.13098335
16	24	20.2
17	24	21.95210457
18	24	22.88658714
19	24	23.84358788
20	24	24.82161713
21	24	25.81767082
22	24	26.82874298
23	24	26.2
24	24	28.88393211
25	24	29.92204094
26	24	30.96315193
27	24	33.5
1	25	0.01
2	25	0.265749454
3	25	0.541686714
4	25	1.192769289
5	25	1.837733626
6	25	2.473520517
7	25	3.097071171
8	25	3.705326319
9	25	4.295226574
10	25	4.863713264
11	25	5.409247398
12	25	5.936371803
13	25	6.451149464
14	25	6.959643364
15	25	7.467916489
16	25	7.982031822
17	25	14.5361991
18	25	9.052042007
19	25	9.618552208
20	25	4.7
21	25	6
22	25	11.43223
23	25	12.06482601
24	25	12.70643425
25	25	17.2
26	25	14.00467014
27	25	14.65579033
1	26	3.318389893
2	26	4.614890099
3	26	5.910881042
4	26	10.9
5	26	8.490625381
6	26	9.768261909
7	26	11.03366089
8	26	12.28376484
9	26	14.5
10	26	14.72585011
11	26	15.9132328
12	26	17.08220673
13	26	18.23883247
14	26	16
15	26	20.5392971
16	26	21.69526291
17	26	22.86313248
18	26	24.04897118
19	26	25.25732994
20	26	23
21	26	19.2
22	26	28.99655342
23	26	30.27099991
24	26	31.55445671
25	26	36
26	26	41.6
27	26	56
1	27	0.01
2	27	0.01
3	27	0.01
4	27	0.01
5	27	0.01
6	27	0.01
7	27	0.01357957
8	27	0.061689552
9	27	0.301523358
10	27	0.956824481
11	27	4.258760108
12	27	3.629649639
13	27	5.303376675
14	27	6.97081995
15	27	6.8
16	27	10.31110764
17	27	9.7
18	27	13.69901657
19	27	15.42447567
20	27	17
21	27	18.93547249
22	27	20.71500206
23	27	22.50654793
24	27	24.30710411
25	27	27.8
26	27	27.92323875
27	27	29.73330879
1	28	0.01
2	28	0.01
3	28	0.01
4	28	0.01
5	28	0.01
6	28	0.01
7	28	0.01
8	28	0.01
9	28	0.01
10	28	0.01
11	28	0.01
12	28	0.01
13	28	0.01
14	28	0.01
15	28	0.011186852
16	28	0.044350129
17	28	0.244776547
18	28	3
19	28	1.75265646
20	28	1.9
21	28	5.146131039
22	28	4.1
23	28	8.599683762
24	28	9.8
25	28	9.4
26	28	13.84009171
27	28	19.8
1	29	99.83592987
2	29	99.84741974
3	29	99.85840607
4	29	99.86633301
5	29	99.86814117
6	29	99.86076355
7	29	99.84116364
8	29	99.80625916
9	29	99.75299835
10	29	99.67832947
11	29	99.8
12	29	99.4646759
13	29	99.33629608
14	29	99.20162964
15	29	99.06674194
16	29	98.93770599
17	29	98.82056427
18	29	98.7213974
19	29	98.6447525
20	29	98.58912659
21	29	98.55153656
22	29	98.52895355
23	29	98.51839447
24	29	98.5168457
25	29	98.52130127
26	29	98.52876282
27	29	98.53672791
1	30	9.571782112
2	30	10.0140934
3	30	9.2
4	30	10.89463806
5	30	11.32726288
6	30	11.75070953
7	30	12.16192055
8	30	10.9
9	30	12.93539619
10	30	13.29154301
11	30	13.62473679
12	30	14.8
13	30	14.24195862
14	30	20.3
15	30	14.83404636
16	30	15.13582134
17	30	15.44950294
18	30	15.78115177
19	30	16.13532257
20	30	17.4
21	30	16.90373993
22	30	14.3
23	30	17.73223686
24	30	12.9
25	30	18.59678078
26	30	19.03506088
27	30	22.9
1	31	1.120719671
2	31	1.5494591
3	31	3.2
4	31	2.402858973
5	31	2.821911097
6	31	3.231786013
7	31	3.629424572
8	31	4.011767387
9	31	4.375755787
10	31	4.718330383
11	31	4.8
12	31	5.339164257
13	31	5.628029823
14	31	6.2
15	31	6.9
16	31	6.4811759
17	31	3.653227333
18	31	7.099361897
19	31	7.439959526
20	31	7.801584721
21	31	8.7
22	31	7.6
23	31	7.4
24	31	9
25	31	11.9
26	31	10.8
27	31	11
1	32	0.01
2	32	0.023679812
3	32	0.130867511
4	32	0.511635363
5	32	0.885507882
6	32	2.492473841
7	32	6.2
8	32	5.666636944
9	32	7.227716446
10	32	8.767381668
11	32	10.28409481
12	32	10.8
13	32	13.26835442
14	32	14.7480278
15	32	16.22747993
16	32	17.71277428
17	32	16.6
18	32	20.72514153
19	32	22.26283073
20	32	24.03089583
21	32	25.39828682
22	32	26.99004555
23	32	25.6
24	32	30.20660782
25	32	31.82540131
26	32	37.6
27	32	35.06949997
1	33	3.886186838
2	33	5.400185108
3	33	6.913673878
4	33	8.424103737
5	33	9.928415298
6	33	11.4235487
7	33	12.90644646
8	33	14.37404919
9	33	15.82329655
10	33	17.25112915
11	33	18.65601158
12	33	22.2
13	33	21.4166069
14	33	22.78444862
15	33	24.15206909
16	33	18.2
17	33	26.91089821
18	33	33.04054054
19	33	30
20	33	31.18697548
21	33	32.65188217
22	33	34.13181305
23	33	35.62375641
24	33	37.12471008
25	33	38.8
26	33	39.5
27	33	41.65210724
1	34	99.23442078
2	34	99.2784729
3	34	99.32201385
4	34	99.36250305
5	34	99.39686584
6	34	99.42205811
7	34	99.43501282
